Bedrooms,Bathrooms,Address,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,Population,NZDep2018
1.359013494423543,0.6978740502332403,"47b Comins Crescent Mission Bay, Auckland",4.755101807595353,14.28551418721001,-36.8540672,174.8347488,7006277,7.150508121078147,5.212512913879303,6.739646261811772,7.952193830461668,6.725919356444759,9.458570375093581,Mission Bay,20.189438828103544,3.0
1.359013494423543,0.6978740502332403,"26 Fairholme Avenue Epsom, Auckland",5.254210055883176,14.0623706358958,-36.9031776,174.7684391,7005632,8.151562825033384,6.109315192969343,5.373484878574275,5.839910636076197,5.943190082557632,7.1869599008551175,Epsom,17.87724014279791,2.0
1.359013494423543,1.0000000826913506e-10,"24 Fairholme Avenue Epsom, Auckland",5.844147272186957,14.580978400103845,-36.9033021,174.7686074,7005632,8.151562825033384,6.109315192969343,5.373484878574275,5.839910636076197,5.943190082557632,7.1869599008551175,Epsom,17.87724014279791,2.0
2.208409706821916,1.1105182569051057,"4 Fairholme Avenue Epsom, Auckland",5.844147272186957,14.70134208235372,-36.9037324,174.77070469999995,7005632,8.151562825033384,6.109315192969343,5.373484878574275,5.839910636076197,5.943190082557632,7.1869599008551175,Epsom,17.87724014279791,2.0
1.8173200822130249,1.1105182569051057,"4 Fairholme Avenue, Auckland",5.844147272186957,14.70134208235372,-36.9037324,174.77070469999995,7005632,8.151562825033384,6.109315192969343,5.373484878574275,5.839910636076197,5.943190082557632,7.1869599008551175,Epsom,17.87724014279791,2.0
1.8173200822130249,1.0000000826913506e-10,"7 Rata Place Pukekohe, Auckland",5.645110592041669,12.983101310070822,-37.1914653,174.8967586,7010341,15.391236035768515,7.5491794209117575,6.320154262849238,7.952193830461668,5.080961874119846,3.5033933217110365,Pukekohe,22.24291244748296,10.0
1.8173200822130249,1.1105182569051057,"19b Hendry Avenue Hillsborough, Auckland",5.22713896395617,14.077874822431765,-36.9191013,174.7602332,7007766,10.98424851139745,8.71183370076656,7.500554007890759,9.146635177114666,6.725919356444759,4.230968171448321,Hillsborough,21.413609929952273,6.0
1.359013494423543,0.6978740502332403,"28 Tiraumea Drive Pakuranga, Auckland",5.960002365520371,13.928839243271277,-36.9176375,174.86966619999995,7008696,14.881136508121218,8.71183370076656,9.372353249900467,8.565716389246917,10.48182020524941,7.914266305354949,Pakuranga,26.09456793154234,9.0
1.359013494423543,1.0000000826913506e-10,"47 Frank Street Oneroa, Auckland",6.123763348647549,13.652991628466498,-36.7850631,175.0278712,7003352,8.151562825033384,4.101887387811977,3.4870254743214875,5.839910636076197,6.725919356444759,7.560610668532292,Oneroa,17.246497624884437,6.0
1.359013494423543,0.6978740502332403,"52a Sunnyside Road Sunnyvale, Auckland",6.006512133955053,13.742939865129438,-36.8970908,174.6382264,7004023,10.98424851139745,4.692195211665663,6.320154262849238,7.299772142340108,5.080961874119846,6.3654081003427345,Sunnyvale,19.26272191158712,9.0
1.359013494423543,0.6978740502332403,"21 Capriana Drive Karaka, Auckland",5.493100782546361,13.840203170554645,-37.0639294,174.9194913,7009992,10.98424851139745,5.681022892394129,7.131680373741203,7.299772142340108,6.725919356444759,7.914266305354949,Karaka,20.723801537826503,2.0
1.359013494423543,1.0000000826913506e-10,"21 Overton Road Papatoetoe, Auckland",5.779556562305654,13.742939865129438,-36.9710412,174.8693896,7008633,11.332314925934417,8.156576552225594,8.18132710554022,7.299772142340108,8.757285446425849,7.914266305354949,Papatoetoe,23.349606682777196,9.0
0.7914060876891122,1.0000000826913506e-10,"1a Herd Road Hillsborough, Auckland",6.01047101893123,14.018451401960965,-36.916308,174.7598366,7007765,9.466606592171551,7.860191639494476,7.131680373741203,7.952193830461668,8.12241128817899,7.560610668532292,Hillsborough,21.413609929952273,3.0
2.553119807651975,1.1105182569051057,"45 Kensington Terrace Gulf Harbour, Auckland",5.718504542458988,13.9108207377686,-36.6089222,174.785329,7001675,13.518652253782768,4.101887387811977,7.131680373741203,12.5973203260243,8.12241128817899,8.571529519832506,Gulf Harbour,23.80651738457355,1.0
2.208409706821916,1.1105182569051057,"15 Harapaki Road Meadowbank, Auckland",5.573129347517194,14.470436525704022,-36.8700462,174.8251511,7006190,12.932316445969542,4.101887387811977,8.497916071989527,11.697350221433103,6.725919356444759,5.407952322849258,Meadowbank,22.079797210449513,1.0
1.359013494423543,1.0000000826913506e-10,"25c Pleasant Street Onehunga, Auckland",5.731338418513623,13.805460222110773,-36.9198143,174.77225280000005,7007820,8.611187017511849,3.4101475114660036,5.373484878574275,7.299772142340108,7.448178853913591,2.608997896640341,Onehunga,16.589905167948814,2.0
1.8173200822130249,0.6978740502332403,"40 Rushgreen Avenue Pahurehure, Auckland",5.700342787242674,13.732128949025222,-37.0648902,174.9286899,7009998,10.624858567479729,5.681022892394129,5.373484878574275,6.599815836480388,11.009364625493168,7.560610668532292,Pahurehure,20.5473717909686,1.0
0.7914060876891122,1.0000000826913506e-10,"A/18a Holly Street Avondale, Auckland",3.7246705388800425,13.304684934198283,-36.8900779,174.69238700000002,7004387,11.670015496644016,8.156576552225594,7.500554007890759,7.299772142340108,7.448178853913591,5.907409525733242,Avondale,21.749513879984782,8.0
1.8173200822130249,0.6978740502332403,"26A Holly Street, Auckland",4.918384689826766,13.840203170554645,-36.8896313,174.69248480000005,7004387,11.670015496644016,8.156576552225594,7.500554007890759,7.299772142340108,7.448178853913591,5.907409525733242,Avondale,21.749513879984782,8.0
1.359013494423543,0.6978740502332403,"21b Marr Road Manurewa, Auckland",4.345318127609438,13.353475098367715,-37.0152515,174.880488,7009541,11.998181339337568,7.5491794209117575,7.131680373741203,4.051239656812715,6.725919356444759,2.608997896640341,Manurewa,19.82442565933384,10.0
1.359013494423543,1.0000000826913506e-10,"13 Sandringham Road Mount Eden, Auckland",5.575568005133582,14.269765830241871,-36.8727657,174.7460271,7005166,7.666193530208886,10.782665205100447,7.500554007890759,7.952193830461668,5.943190082557632,5.407952322849258,Mount Eden,21.413609929952273,6.0
1.8173200822130249,0.6978740502332403,"40 Goodwood Drive Goodwood Heights, Auckland",5.729379016732245,13.864300722133706,-36.9931422,174.9036367,7009731,13.518652253782768,8.439997923583775,8.497916071989527,8.565716389246917,11.009364625493168,10.747067866300263,Goodwood Heights,26.365056091885567,4.0
1.8173200822130249,1.0000000826913506e-10,"50 Arthur Street Manurewa, Auckland",6.848816681652641,14.137594057133388,-37.0172546,174.90741519999997,7009861,12.317539159200726,6.505292391153637,8.18132710554022,9.146635177114666,2.96049223676023,6.3654081003427345,Manurewa,21.413609929952273,6.0
1.359013494423543,0.6978740502332403,"3 Manuka Road Oneroa, Auckland",5.779556562305654,13.62918097977278,-36.7867738,175.01150239999996,7003341,6.001528764911963,2.5534771149020385,3.4870254743214875,7.299772142340108,7.448178853913591,8.571529519832506,Oneroa,17.87724014279791,4.0
1.359013494423543,1.0000000826913506e-10,"160 Gowing Drive Meadowbank, Auckland",5.307281269327785,13.753635154246187,-36.8688531,174.8403044,7006318,10.624858567479729,8.439997923583775,6.739646261811772,9.146635177114666,8.757285446425849,5.907409525733242,Meadowbank,22.079797210449513,2.0
1.8173200822130249,0.6978740502332403,"4 Helios Place Titirangi, Auckland",6.856244190553707,14.234220892822458,-36.9507221,174.64134030000002,7007223,10.98424851139745,5.681022892394129,4.826545294992745,10.736360645151427,8.757285446425849,6.789997231169667,Titirangi,20.89859915793634,2.0
1.8173200822130249,1.1105182569051057,"1 Landing Road Titirangi, Auckland",6.760438881843422,14.151982794585487,-36.9499586,174.64297019999995,7007223,10.98424851139745,5.681022892394129,4.826545294992745,10.736360645151427,8.757285446425849,6.789997231169667,Titirangi,20.89859915793634,2.0
2.208409706821916,1.1105182569051057,"29b Rukutai Street Orakei, Auckland",5.4848614716440816,14.360737608447597,-36.8581658,174.8281687,7006178,9.466606592171551,7.860191639494476,7.500554007890759,7.952193830461668,8.757285446425849,6.789997231169667,Orakei,21.413609929952273,4.0
1.8173200822130249,0.6978740502332403,"44 Godden Crescent, Auckland",5.287602914873649,14.580978400103845,-36.8587685,174.8284616,7006178,9.466606592171551,7.860191639494476,7.500554007890759,7.952193830461668,8.757285446425849,6.789997231169667,Mission Bay,21.413609929952273,4.0
1.359013494423543,0.6978740502332403,"20 Eversleigh Road Belmont, Auckland",5.3905697640565755,14.09692301740246,-36.8022939,174.78551330000005,7003315,9.048601537785366,3.4101475114660036,4.208266318894455,6.599815836480388,7.448178853913591,4.230968171448321,Belmont,15.90422697243177,2.0
1.359013494423543,1.0000000826913506e-10,"34a Ascot Avenue Remuera, Auckland",4.9731870981119295,14.01436141670944,-36.8839242,174.80260249999995,7005999,7.666193530208886,5.681022892394129,4.826545294992745,7.299772142340108,6.725919356444759,6.3654081003427345,Remuera,17.030652693359915,4.0
